<DOC>	<DOC>+BDTag
<S>	<S>+BSTag
yeni	yeni+ADJ
Büyük	büyük+ADJ
yasada	yasa+NOUN+A3SG+PNON+LOC
karmaşık	karmaşık+ADJ
dil	dil+NOUN+A3SG+PNON+NOM
savaşı	savaş+NOUN+A3SG+PNON+ACC
bulandırmıştır	bulan+VERB^DB+VERB+CAUS+POS+NARR+COP+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Hayır	hayır+ADV
,	,+PUNC
kara	kara+ADJ
pazartesi	pazartesi+NOUN+A3SG+PNON+NOM
değildi	değil+ADJ^DB+VERB+ZERO+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Bayan	bayan+NOUN+A3SG+PNON+NOM
Haag	haag+NOUN+PROP+A3SG+PNON+NOM
Elianti	elianti+NOUN+PROP+A3SG+PNON+NOM
çalar	çal+VERB+POS+AOR+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Yollar	yol+NOUN+A3PL+PNON+NOM
ve	ve+CONJ
Araçlar	araç+NOUN+PROP+A3PL+PNON+NOM
Komitesi	komite+NOUN+A3SG+P3SG+NOM
gelecek	gelecek+NOUN+A3SG+PNON+NOM
Salı	salı+NOUN+A3SG+PNON+NOM
fatura	fatura+NOUN+A3SG+PNON+NOM
için	için+POSTP+PCNOM
bir	bir+DET
duruşma	duruşma+NOUN+A3SG+PNON+NOM
yapacak	yap+VERB+POS+FUT+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Suçlama	suçla+VERB+POS^DB+NOUN+INF2+A3SG+PNON+NOM
çoktan	çoktan+ADV
başlamıştı	başla+VERB+POS+NARR+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Lüks	lüks+ADJ
otomobil	otomobil+NOUN+A3SG+PNON+NOM
üreticisi	üretici+NOUN+A3SG+P3SG+NOM
ABD'de	abd+NOUN+PROP+A3SG+PNON+LOC
geçen	geçen+ADJ
yıl	yıl+NOUN+A3SG+PNON+NOM
1214	1214+NUM+CARD
araba	araba+NOUN+A3SG+PNON+NOM
sattı	sat+VERB+POS+PAST+A3SG
</S>	</S>+ESTag
<S>	<S>+BSTag
Biz	biz+PRON+PERS+A1PL+PNON+NOM
reklamın	reklam+NOUN+A3SG+PNON+GEN
işe	iş+NOUN+A3SG+PNON+DAT
yarayıp	yara+VERB+POS^DB+ADV+AFTERDOINGSO
yaramadığını	yara+VERB+NEG^DB+NOUN+PASTPART+A3SG+P3SG+ACC
görmek	gör+VERB+POS^DB+NOUN+INF+A3SG+PNON+NOM
üzereyiz	üzere+POSTP+PCNOM^DB+VERB+ZERO+PRES+A1PL
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Hisse	hisse+NOUN+A3SG+PNON+NOM
senedi	senet+NOUN+A3SG+PNON+ACC
piyasası	piyasa+NOUN+A3SG+P3SG+NOM
hareketsizdi	hareket+NOUN+A3SG+PNON+NOM^DB+ADJ+WITHOUT^DB+VERB+ZERO+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
BELL	bell+NOUN+PROP+A3SG+PNON+NOM
INDUSTRIES	INDUSTRIES+NOUN+PROP+A3SG+PNON+NOM
Inc.	ınc.+NOUN+PROP+A3SG+PNON+NOM
çeyrekliğini	çeyreklik+NOUN+A3SG+P3SG+ACC
hisse	hisse+NOUN+A3SG+PNON+NOM
başına	baş+NOUN+A3SG+P3SG+DAT
yedi	yedi+NUM+CARD
sentten	sent+NOUN+A3SG+PNON+ABL
10	10+NUM+CARD
sente	sent+NOUN+A3SG+PNON+DAT
artırdı	art+VERB^DB+VERB+CAUS+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Bu	bu+DET
kez	kez+NOUN+A3SG+PNON+NOM
,	,+PUNC
onlar	o+PRON+PERS+A3PL+PNON+NOM
daha	daha+ADV
da	da+CONJ
hızlı	hız+NOUN+A3SG+PNON+NOM^DB+ADJ+WITH
hareket	hareket+NOUN+A3SG+PNON+NOM
ediyor	et+VERB+POS+PROG1+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Son	son+ADJ
saat	saat+NOUN+A3SG+PNON+NOM
ticaret	ticaret+NOUN+A3SG+PNON+NOM
,	,+PUNC
Borsa	borsa+NOUN+PROP+A3SG+PNON+NOM
için	için+POSTP+PCNOM
bir	bir+DET
rekor	rekor+NOUN+A3SG+PNON+NOM
108.1	108.1+NUM+REAL
milyon	milyon+NUM+CARD
hisseye	hisse+NOUN+A3SG+PNON+DAT
kadar	kadar+POSTP+PCDAT
arttı	art+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
yeni	yeni+ADJ
oran	oran+NOUN+A3SG+PNON+NOM
15	15+NUM+CARD
Şubat'ta	şubat+NOUN+PROP+A3SG+PNON+LOC
ödenebilir	öden+VERB+POS^DB+VERB+ABLE+AOR^DB+ADJ+ZERO
olacak	ol+VERB+POS+FUT+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Shearson	shearson+NOUN+PROP+A3SG+PNON+NOM
Lehman	lehman+NOUN+PROP+A3SG+PNON+NOM
Hutton	hutton+NOUN+PROP+A3SG+PNON+NOM
Şirketi	şirket+NOUN+A3SG+PNON+ACC
dün	dün+NOUN+A3SG+PNON+NOM
sabaha	sabah+NOUN+A3SG+PNON+DAT
kadar	kadar+POSTP+PCDAT
çoktan	çoktan+ADV
yeni	yeni+ADJ
televizyon	televizyon+NOUN+A3SG+PNON+NOM
reklamlarını	reklam+NOUN+A3PL+P3SG+ACC
yazmıştı	yaz+VERB+POS+NARR+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Günün	gün+NOUN+A3SG+P2SG+NOM
sonunda	sonunda+ADV
,	,+PUNC
251.2	251.2+NUM+REAL
milyon	milyon+NUM+CARD
hisse	hisse+NOUN+A3SG+PNON+NOM
satıldı	sat+VERB^DB+VERB+PASS+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Bir	bir+DET
kayıt	kayıt+NOUN+A3SG+PNON+NOM
tarihi	tarih+NOUN+A3SG+P3SG+NOM
belirlenmedi	belirle+VERB^DB+VERB+PASS+NEG+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Bu	bu+DET
kez	kez+NOUN+A3SG+PNON+NOM
firmalar	firma+NOUN+A3PL+PNON+NOM
hazırdı	hazır+ADJ^DB+VERB+ZERO+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
